SampleID,SampleType,num_seqs,min_len,avg_len,max_len,Q1,Q2,Q3,N50_num,Q20(%),Q30(%),AvgQual,GC(%),sum_n
F1_SF030MO232_S52,Gut,"29,584",61,258,489,253,253,253,182,99.21,98.72,29.49,52,0
F10_SF037SI259_S106,Gut,"92,721",61,254.6,476,253,253,253,148,99.31,98.58,27.93,51.78,"4,060"
F11_SF037CO262_S107,Gut,"100,491",78,255.1,487,253,253,253,151,99.19,98.34,27.19,53.13,"4,769"
F12_SF037AU313_S108,Gut,"68,058",58,254.7,481,253,253,253,137,99.21,98.38,27.3,51.88,"3,142"
F13_BG061_S109,Gut,"76,063",65,255.8,488,253,253,253,155,98.93,98.02,25.76,51.81,"3,955"
F14_BG058_S110,Gut,"108,891",56,256.1,489,253,253,253,170,98.85,97.82,25.44,52.41,"5,984"
F15_BG060_S111,Gut,"58,967",76,255.4,484,253,253,253,136,98.82,97.65,25.32,52.78,"2,933"
F16_BG022_S112,Gut,"57,746",53,256,486,253,253,253,145,99.03,97.99,26.59,52.32,"2,910"
F17_BG083_S113,Gut,"114,382",76,255,488,253,253,253,156,99.23,98.3,27.53,51.91,"5,417"
F18_BG077_S114,Gut,"69,582",59,255.1,488,253,253,253,141,99.08,98.19,26.49,52.02,"3,402"
F19_BF041MO045_S115,Gut,"134,447",67,254.9,488,253,253,253,174,98.91,97.75,25.71,54.01,"6,205"
F2_SF030BR230_S53,Gut,"35,649",56,256.9,489,253,253,253,183,99.37,98.93,30.69,51.94,0
F3_SF030BR229_S54,Gut,"30,290",53,256.3,485,253,253,253,172,99.38,98.91,30.38,51.95,0
F4_SF030BR231_S100,Gut,"32,554",85,254.9,484,253,253,253,124,99,98.05,26.06,52.56,"1,576"
F5_SF030PR228_S101,Gut,"55,525",96,255.4,490,253,253,253,135,98.87,97.83,25.63,51.77,"2,765"
F6_SF030BR234_S102,Gut,"42,313",76,256.1,478,253,253,253,136,98.83,97.87,25.26,52.01,"2,447"
F7_SF037MO261_S103,Gut,"42,702",88,256,491,253,253,253,133,98.93,98.02,25.79,51.5,"2,312"
F8_SF037PR258_S104,Gut,"31,328",64,254.7,486,253,253,253,112,99.19,98.31,27.26,53.25,"1,309"
F9_SF037BR257_S105,Gut,"82,762",76,254.8,479,253,253,253,137,99.21,98.32,27.34,51.47,"3,753"
S1_SF020BL281_S116,Saliva,"106,032",79,255.1,487,252,253,253,163,99.03,97.85,26.52,51.38,"5,057"
S10_SF030BR234_S125,Saliva,"59,525",91,254.4,488,252,253,253,135,99.15,98.03,27.27,51.81,"2,689"
S11_SF030BR312_S126,Saliva,"102,681",64,254.9,490,252,253,253,158,98.98,97.78,26.3,51.73,"4,636"
S12_SF062MO121_S127,Saliva,"80,471",80,253.9,488,252,252,253,144,99.23,97.98,27.9,52.36,"2,889"
S13_SF062FA122_S128,Saliva,"81,040",88,254.5,486,252,253,253,148,98.95,97.66,26.18,52.27,"3,171"
S14_SF062BR123_S129,Saliva,"92,330",56,255.7,489,252,253,253,166,98.88,97.58,25.74,51.99,"4,685"
S15_SF062PR125_S130,Saliva,"112,255",81,254.5,488,252,253,253,155,99.2,98.01,27.65,52.15,"4,687"
S16_SF037MO261_S131,Saliva,"100,175",60,254.4,467,252,253,253,145,98.85,97.39,25.68,51.64,"4,229"
S17_SF037PR258_S132,Saliva,"90,171",63,254.9,485,252,253,253,144,99.13,98.04,27.04,51.94,"3,813"
S18_SF037BR257_S133,Saliva,"118,047",58,253.9,490,252,253,253,158,99.01,97.82,26.41,52.6,"4,716"
S19_SF037SI259_S134,Saliva,"102,826",74,254.7,479,252,253,253,159,99.08,98,26.67,51.02,"4,745"
S2_SF020SI282_S117,Saliva,"111,847",54,254.5,459,252,253,253,154,99.14,97.9,27.3,52.29,"4,810"
S20_SF037CO262_S135,Saliva,"103,411",66,254.1,488,252,253,253,151,99.04,97.74,26.65,51.65,"4,221"
S21_SF037AU313_S136,Saliva,"72,795",100,254,490,252,253,253,141,99.12,98,26.97,51.71,"3,054"
S22_BG061_S137,Saliva,"112,722",58,255.1,484,253,253,253,165,98.98,97.77,26.21,51.87,"5,711"
S23_BG058_S138,Saliva,"75,461",53,254.5,490,252,253,253,138,99.12,97.96,27.04,51.98,"3,287"
S24_BG060_S139,Saliva,"81,445",65,254.5,486,252,253,253,142,98.9,97.41,26.06,51.79,"3,528"
S25_BG022_S140,Saliva,"174,625",58,255,487,252,253,253,170,99.06,97.97,26.73,51.56,"7,820"
S26_BG030BR040_S141,Saliva,"153,183",61,253.9,488,252,252,253,158,99.22,97.92,27.78,52.93,"5,852"
S27_BG083_S142,Saliva,"88,825",87,254.6,489,252,253,253,141,99.19,98.16,27.37,51.15,"3,992"
S28_BG077_S143,Saliva,"102,294",77,254.7,487,252,253,253,151,99.01,97.67,26.59,51.72,"4,647"
S29_BF041MO045_S144,Saliva,"85,448",101,254,489,252,253,253,154,99.22,98.17,27.62,52.12,"3,356"
S3_SF020NE283_S118,Saliva,"102,800",70,255.3,490,252,253,253,163,98.91,97.54,25.94,51.39,"5,306"
S4_SF020NE284_S119,Saliva,"85,976",95,253.4,489,252,253,253,143,98.94,97.62,26.12,52.49,"3,718"
S5_SF030MO232_S120,Saliva,"99,468",61,254.4,490,252,253,253,162,99,97.73,26.41,51.99,"3,917"
S6_SF030BR230_S121,Saliva,"90,199",69,254.4,487,252,253,253,144,99.15,98.01,27.39,52.28,"3,850"
S7_SF030BR229_S122,Saliva,"112,337",68,254.8,484,252,253,253,162,99.2,98.27,27.37,51.59,"4,683"
S8_SF030BR231_S123,Saliva,"97,189",70,255.1,486,252,253,253,159,99.13,98.07,27.14,51.73,"4,313"
S9_SF030PR228_S124,Saliva,"67,132",82,254.4,487,252,253,253,144,99.21,98.17,27.61,51.92,"2,847"
